player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
DJ Uiagalelei,122162,QB,CLEMSON,1,32,63.6,11,12,11.0,2.38,0,1,7.7,58.3,7,5,0.0,12,37.5,0,6,,,,,66.0,49.6,71.0,49.7,,,,1,0,13,0.0,112.5,0.0,0,0,0,0,1,1,7.7,98,8.2,0,140,74.0,66.7,66.0,62.0,93.8,16,18,7.8,2.81,0,1,5.3,77.8,14,6,6.7,20,62.5,1,3,,,,,67.2,73.0,72.5,78.2,,,51.6,1,0,21,0.0,92.4,0.0,0,2,0,1,0,0,0.0,111,6.2,90.5,21,21,8.3,2.48,0,2,8.7,85.7,18,0,5.3,21,65.6,1,8,,,,,67.5,86.5,72.8,85.6,,,,0,0,23,,117.1,0.0,0,0,0,0,1,0,0.0,174,8.3,0,50.0,6,9,11.8,2.97,0,0,0.0,33.3,3,11,0.0,11,34.4,0,1,,,,,65.6,27.5,70.4,28.2,,,51.6,2,0,11,0.0,46.1,0.0,0,2,0,1,0,1,9.1,35,3.9
Casey Thompson,77677,QB,NEBRASKA,1,32,63.6,11,15,12.8,3.49,0,1,5.9,46.7,7,8,0.0,17,53.1,0,3,,,,,67.0,49.0,72.2,50.6,,,57.3,3,1,19,12.5,31.5,5.9,1,1,0,1,0,2,10.5,66,4.4,1,238,70.5,72.9,73.6,58.5,92.3,13,14,13.5,2.52,0,3,20.0,78.6,11,1,8.3,15,46.9,1,9,,,,,66.5,89.5,71.6,90.5,,,57.3,1,0,16,0.0,158.3,0.0,0,1,0,0,2,1,6.3,204,14.6,77.3,22,22,14.2,2.6,0,4,16.7,72.7,16,0,5.9,23,71.9,1,12,,,,,67.7,77.1,73.1,78.2,,,57.3,0,1,25,,124.4,0.0,0,1,0,0,2,3,12.0,266,12.1,3,100.0,2,7,2.0,4.16,0,0,0.0,28.6,2,9,0.0,9,28.1,0,0,,,,,65.4,49.8,70.1,52.6,,,57.3,4,0,10,11.1,39.6,11.1,1,1,0,1,0,0,0.0,4,0.6
Bo Nix,97790,QB,OREGON,1,32,100.0,1,2,-3.0,3.65,0,0,0.0,50.0,1,3,0.0,4,12.5,0,1,,,,,63.3,76.9,67.4,56.4,,,69.3,0,0,4,33.3,56.3,25.0,1,1,0,1,0,0,0.0,5,2.5,0,264,70.1,59.0,47.4,80.1,72.0,25,27,12.0,2.64,1,1,3.3,55.6,15,4,16.7,28,87.5,3,6,,,,,68.3,50.3,73.9,47.7,,,64.3,0,0,31,0.0,97.1,0.0,0,1,0,1,2,2,6.5,156,5.8,78.3,23,24,10.5,2.21,1,1,3.7,62.5,15,0,16.7,25,78.1,3,5,,,,,68.0,51.0,73.5,48.2,,,64.3,0,0,28,,94.3,0.0,0,1,0,0,1,2,7.1,151,6.3,0,33.3,3,5,18.3,4.77,0,0,0.0,20.0,1,7,0.0,7,21.9,0,2,,,,,64.6,67.9,69.1,53.2,,,69.3,0,0,7,14.3,79.2,14.3,1,1,0,2,1,0,0.0,10,2.0
Gerry Bohanon,77636,QB,USF,1,31,62.5,8,10,12.5,3.76,0,2,18.2,40.0,4,6,20.0,12,38.7,1,2,,,,,66.0,76.0,71.0,78.6,,,57.8,0,0,13,16.7,92.5,8.3,1,1,0,2,1,0,0.0,57,5.7,0,327,38.9,79.0,80.7,63.5,83.3,18,18,4.8,2.06,0,0,0.0,77.8,14,1,6.7,19,61.3,1,8,,,,,67.0,72.9,72.4,75.4,60.0,,57.3,0,0,19,0.0,150.9,0.0,0,1,0,0,2,0,0.0,204,11.3,73.9,23,23,6.7,2.14,0,2,8.3,69.6,16,0,5.9,24,77.4,1,8,,,,,67.7,78.6,73.1,80.1,,,57.3,0,0,25,,131.4,0.0,0,1,0,0,2,0,0.0,234,10.2,1,100.0,3,5,10.3,4.7,0,0,0.0,40.0,2,7,33.3,7,22.6,1,2,,,,,64.6,65.1,69.5,69.7,60.0,,57.8,0,0,7,14.3,97.5,14.3,1,1,0,2,1,0,0.0,27,5.4
Jayden Daniels,97993,QB,LSU,1,31,40.0,5,5,7.6,2.38,0,0,0.0,20.0,1,1,50.0,5,16.1,1,1,,,,,64.2,47.7,68.6,47.8,,,,0,0,6,0.0,59.6,0.0,0,0,0,0,0,0,0.0,39,7.8,0,211,34.6,51.5,35.2,74.5,76.9,13,15,6.5,3.37,0,0,0.0,46.7,7,13,30.0,26,83.9,3,5,,,,,27.3,45.7,73.6,35.6,,,69.1,0,0,29,38.5,53.5,19.2,5,6,0,2,0,1,3.4,41,2.7,71.4,14,14,5.1,2.58,0,0,0.0,42.9,6,0,40.0,17,54.8,4,5,,,,,67.1,61.2,72.4,52.4,,,73.6,0,0,20,,58.0,0.0,0,3,0,0,0,0,0.0,68,4.9,0,50.0,4,6,12.8,3.97,0,0,0.0,33.3,2,14,0.0,14,45.2,0,1,,,,,21.3,29.0,71.4,27.8,,,58.6,0,0,15,35.7,42.4,35.7,5,3,0,2,0,1,6.7,12,2.0
Spencer Rattler,97408,QB,S CAROLINA,1,31,90.9,11,11,10.5,2.78,0,1,8.3,72.7,8,4,20.0,12,38.7,2,4,,,,,66.0,90.9,71.0,90.0,,,64.3,0,2,13,0.0,90.5,0.0,0,1,0,0,1,0,0.0,98,8.9,0,289,29.1,84.8,88.9,57.3,86.7,15,16,4.1,2.83,0,1,5.9,81.3,13,4,0.0,19,61.3,0,6,,,,,67.1,78.7,72.4,77.5,,,64.4,0,0,20,0.0,117.2,0.0,0,3,0,1,1,0,0.0,114,7.1,95.0,20,20,4.5,2.43,0,1,4.5,95.0,19,0,0.0,23,74.2,0,9,,,,,67.7,83.6,73.1,82.5,,,64.7,0,0,25,,106.7,0.0,0,3,0,0,0,0,0.0,192,9.6,0,66.7,6,7,14.7,3.91,0,1,14.3,28.6,2,8,50.0,8,25.8,2,1,,,,,64.9,89.1,69.5,85.4,,,64.2,0,2,8,0.0,39.6,0.0,0,1,0,1,2,0,0.0,20,2.9
Hudson Card,123109,QB,TEXAS,1,30,80.0,5,5,24.0,3.12,0,0,0.0,80.0,4,3,0.0,6,20.0,0,4,,,,,64.9,78.3,69.5,77.7,,,,0,0,8,33.3,158.3,16.7,1,0,0,0,2,0,0.0,97,19.4,0,311,29.9,62.6,68.8,45.0,85.0,20,22,8.2,2.95,0,0,0.0,77.3,17,6,0.0,24,80.0,0,8,,,,,67.8,63.3,73.4,61.5,54.3,,64.2,1,0,26,16.7,120.6,4.2,1,1,0,1,1,1,3.8,206,9.4,80.0,20,21,7.5,2.48,0,0,0.0,76.2,16,0,0.0,21,70.0,0,6,,,,,67.6,65.5,73.1,66.3,54.3,,,0,0,24,,114.4,0.0,0,0,0,1,1,0,0.0,166,7.9,0,100.0,5,6,26.8,4.17,0,0,0.0,83.3,5,9,0.0,9,30.0,0,6,,,,,65.4,73.0,70.1,68.7,,,64.2,1,0,10,22.2,158.3,22.2,2,1,0,0,2,1,10.0,137,22.8
Layne Hatcher,82068,QB,TEXAS ST,1,30,53.8,13,13,11.3,2.74,0,1,7.7,53.8,7,7,0.0,15,50.0,0,4,,,,,66.4,55.4,71.4,57.3,,,57.3,0,1,15,14.3,68.8,6.7,1,1,0,0,1,1,6.7,88,6.8,0,314,27.7,37.5,37.0,57.3,50.0,12,14,10.3,3.21,0,0,0.0,42.9,6,4,0.0,15,50.0,0,3,,,,,21.3,28.7,71.4,28.9,,,,0,1,15,25.0,25.0,6.7,1,0,0,2,0,3,20.0,57,4.1,50.0,18,19,9.5,2.45,0,0,0.0,47.4,9,0,0.0,19,63.3,0,5,,,,,67.0,50.5,72.2,50.5,,,,0,2,19,,25.4,0.0,0,0,0,1,0,1,5.3,107,5.6,0,57.1,7,8,14.1,3.88,0,1,12.5,50.0,4,11,0.0,11,36.7,0,2,,,,,18.5,28.5,70.4,28.8,,,57.3,0,0,11,18.2,103.1,18.2,2,1,0,1,1,3,27.3,38,4.8
Miles Kendrick,77673,QB,NEW MEXICO,1,30,87.5,8,9,5.3,2.66,0,0,0.0,77.8,7,3,0.0,10,33.3,0,2,,,,,65.4,67.5,70.1,71.2,,,57.3,0,0,10,0.0,89.4,0.0,0,1,0,1,0,0,0.0,49,5.4,0,241,70.3,38.6,37.5,54.2,46.2,13,16,11.7,3.21,0,0,0.0,37.5,6,8,0.0,20,66.7,0,5,,,,,67.4,27.9,72.7,28.5,,,50.3,1,2,22,12.5,20.6,5.0,1,3,0,2,0,3,13.6,103,6.4,66.7,18,18,6.7,2.36,0,0,0.0,66.7,12,0,0.0,19,63.3,0,4,,,,,67.1,45.5,72.4,47.0,,,57.3,0,2,20,,44.2,0.0,0,1,0,0,0,2,10.0,113,6.3,0,33.3,3,7,24.3,4.18,0,0,0.0,14.3,1,11,0.0,11,36.7,0,3,,,,,65.8,29.5,70.7,31.6,,,50.2,1,0,12,9.1,50.3,9.1,1,3,0,3,0,1,8.3,39,5.6
Will Levis,83542,QB,KENTUCKY,1,29,92.3,13,14,7.6,2.32,0,1,6.7,71.4,10,4,16.7,15,51.7,2,6,,,,,66.5,72.0,71.6,71.5,,,,0,0,16,25.0,132.1,6.7,1,0,0,1,2,0,0.0,104,7.4,0,202,30.4,64.7,71.8,46.8,72.7,11,11,6.2,2.78,0,0,0.0,72.7,8,7,0.0,14,48.3,0,4,,,,,66.4,62.7,71.6,67.4,,,52.9,0,0,16,14.3,106.6,7.1,1,2,0,0,0,0,0.0,116,10.5,88.2,17,17,4.5,2.21,0,0,0.0,82.4,14,0,6.7,18,62.1,1,8,,,,,67.1,71.2,72.4,73.1,,,57.3,0,0,20,,151.0,0.0,0,1,0,0,2,0,0.0,184,10.8,1,71.4,7,8,12.9,3.08,0,1,11.1,50.0,4,11,20.0,11,37.9,1,2,,,,,65.6,61.5,70.7,64.2,,,57.3,0,0,12,18.2,62.5,18.2,2,1,0,1,0,0,0.0,36,4.5
Logan Fife,128176,QB,FRESNO ST,1,29,50.0,4,4,5.5,3.27,0,0,0.0,50.0,2,4,0.0,7,24.1,0,1,,,,,16.7,28.4,69.8,28.5,,,,0,1,9,75.0,16.7,42.9,3,0,0,0,0,1,11.1,12,3.0,0,169,28.9,52.1,56.2,47.5,83.3,18,18,7.4,2.74,0,1,5.0,77.8,14,5,6.7,22,75.9,1,6,,,,,67.7,68.2,73.1,75.9,,,47.5,0,1,25,0.0,77.1,0.0,0,3,0,0,0,0,0.0,145,8.1,83.3,18,18,6.2,2.17,0,1,4.5,77.8,14,0,6.7,20,69.0,1,5,,,,,25.6,56.2,73.0,56.0,,,,0,1,24,,66.2,5.0,1,0,0,0,0,1,4.2,98,5.4,0,50.0,4,4,11.3,4.42,0,0,0.0,50.0,2,9,0.0,9,31.0,0,2,,,,,65.4,47.2,70.1,58.7,,,47.5,0,1,10,22.2,56.3,22.2,2,3,0,0,0,0,0.0,59,14.8
Dequan Finn,97804,QB,TOLEDO,1,29,77.8,9,9,5.8,2.5,0,0,0.0,66.7,6,3,14.3,10,34.5,1,3,,,,,65.4,73.0,70.1,68.5,,,64.2,0,0,10,0.0,109.7,0.0,0,1,0,0,2,0,0.0,24,2.7,0,316,22.5,73.5,77.7,58.4,60.0,15,15,14.9,3.05,0,1,6.3,53.3,8,8,11.1,19,65.5,1,9,,,,,67.1,84.3,72.4,77.8,,,73.9,0,0,20,12.5,90.1,5.3,1,3,0,0,0,1,5.0,157,10.5,70.6,17,17,10.1,2.24,0,0,0.0,58.8,10,0,16.7,18,62.1,2,7,,,,,67.0,72.3,72.2,69.9,,,63.1,0,0,19,,125.6,0.0,0,1,0,0,2,1,5.3,144,8.5,0,57.1,7,7,14.9,3.86,0,1,14.3,57.1,4,11,0.0,11,37.9,0,5,,,,,65.6,90.3,70.4,81.7,,,75.0,0,0,11,9.1,71.7,9.1,1,3,0,0,0,0,0.0,37,5.3
Aveon Smith,130529,QB,MIAMI OH,1,28,50.0,4,4,22.8,3.14,0,0,0.0,50.0,2,2,0.0,5,17.9,0,1,,,,,63.8,40.8,68.6,41.8,60.0,,,0,0,5,50.0,95.8,20.0,1,0,0,0,0,0,0.0,51,12.8,0,221,72.6,59.4,38.6,87.8,61.9,21,22,8.0,2.39,1,0,0.0,54.5,12,3,7.7,23,82.1,1,4,,,,,67.6,37.9,0.0,42.4,,,56.2,0,1,24,0.0,41.5,0.0,0,1,0,0,0,2,8.3,68,3.1,54.5,22,23,10.4,2.23,1,0,0.0,47.8,11,0,8.3,23,82.1,1,3,,,,,67.6,29.1,0.0,30.0,,,,0,1,24,,40.3,0.0,0,0,0,0,0,2,8.3,91,4.0,1,100.0,3,3,10.0,3.86,0,0,0.0,100.0,3,5,0.0,5,17.9,0,2,,,,,63.8,70.5,68.6,78.6,60.0,,56.2,0,0,5,20.0,105.6,20.0,1,1,0,0,0,0,0.0,28,9.3
Grant Wells,97784,QB,VA TECH,1,28,77.8,9,9,11.2,2.33,0,0,0.0,55.6,5,1,28.6,9,32.1,2,4,,,,,65.1,77.5,69.8,76.9,,,,0,0,9,0.0,68.3,0.0,0,0,0,0,0,0,0.0,43,4.8,0,337,70.1,68.0,67.1,61.8,75.0,16,17,7.3,3.17,1,0,0.0,64.7,11,6,8.3,19,67.9,1,1,,,,,67.0,53.1,72.2,56.9,,,52.9,0,1,19,0.0,55.0,0.0,0,2,0,0,0,1,5.3,96,5.6,78.9,19,20,9.5,2.44,1,0,0.0,60.0,12,0,20.0,21,75.0,3,4,,,,,67.2,70.9,72.5,72.5,,,57.3,0,0,21,,74.6,0.0,0,1,0,0,0,0,0.0,108,5.4,0,66.7,6,6,6.3,4.3,0,0,0.0,66.7,4,7,0.0,7,25.0,0,1,,,,,64.6,48.2,69.1,51.3,,,57.3,0,1,7,0.0,39.6,0.0,0,1,0,0,0,1,14.3,31,5.2
Cameron Rising,77663,QB,UTAH,1,28,77.8,9,9,12.2,2.7,0,0,0.0,77.8,7,1,0.0,9,32.1,0,3,,,,,65.6,75.2,70.4,74.7,,,,0,0,11,0.0,95.4,0.0,0,0,0,0,0,0,0.0,62,6.9,0,328,70.2,84.1,80.5,74.4,86.7,15,16,6.5,2.7,0,1,6.3,75.0,12,1,7.7,19,67.9,1,10,,,,,67.0,76.5,0.0,78.1,,,65.4,0,0,19,0.0,139.8,0.0,0,3,0,1,3,0,0.0,137,8.6,87.0,23,24,7.2,2.65,0,1,4.0,79.2,19,0,5.0,26,92.9,1,13,,,,,67.9,84.6,0.0,82.8,,,70.8,0,0,27,,140.8,0.0,0,2,0,1,3,0,0.0,199,8.3,1,0.0,1,1,42.0,3.35,0,0,0.0,0.0,0,2,,2,7.1,0,0,,,,,62.7,50.5,66.6,57.7,,,56.3,0,0,3,0.0,39.6,0.0,0,1,0,0,0,0,0.0,0,0.0
Riley Leonard,143862,QB,DUKE,1,27,77.8,9,10,6.0,2.75,0,0,0.0,70.0,7,5,0.0,11,40.7,0,4,,,,,65.8,67.7,70.7,70.9,,,57.0,0,0,12,0.0,86.7,0.0,0,1,0,1,0,0,0.0,63,6.3,0,154,71.5,76.6,67.5,74.4,78.6,14,14,6.4,2.49,0,0,0.0,78.6,11,4,0.0,16,59.3,0,4,,,,,66.5,67.4,71.6,61.8,,,68.5,0,0,16,0.0,110.1,0.0,0,2,0,0,1,0,0.0,66,4.7,77.8,18,18,7.3,2.24,0,0,0.0,77.8,14,0,0.0,18,66.7,0,5,,,,,67.0,65.8,72.2,65.4,,,,0,0,19,,108.6,0.0,0,0,0,0,1,0,0.0,101,5.6,0,80.0,5,6,2.4,3.32,0,0,0.0,66.7,4,9,0.0,9,33.3,0,3,,,,,65.1,70.5,69.8,67.5,,,64.3,0,0,9,0.0,77.1,0.0,0,3,0,1,0,0,0.0,28,4.7
Tommy DeVito,60545,QB,ILLINOIS,1,27,75.0,12,12,9.0,2.52,0,0,0.0,66.7,8,0,11.1,12,44.4,1,7,,,,,66.5,78.6,71.6,77.9,,,,0,0,16,,89.9,0.0,0,0,0,0,0,0,0.0,93,7.8,0,187,72.0,80.7,78.9,67.1,83.3,12,12,5.8,2.55,0,1,7.7,83.3,10,5,0.0,15,55.6,0,2,,,,,66.5,69.1,71.8,72.3,60.0,,57.0,0,0,16,40.0,92.4,13.3,2,1,0,0,0,0,0.0,74,6.2,81.8,22,22,6.4,2.13,0,1,3.7,77.3,17,0,5.6,22,81.5,1,8,,,,,67.9,81.5,73.4,80.6,,,,0,0,27,,95.6,0.0,0,0,0,0,0,0,0.0,154,7.0,0,50.0,2,2,18.5,4.34,0,0,0.0,50.0,1,5,0.0,5,18.5,0,1,,,,,63.8,55.0,68.6,60.2,60.0,,57.0,0,0,5,40.0,70.8,40.0,2,1,0,0,0,0,0.0,13,6.5
Austin Smith,145763,QB,E MICHIGAN,1,27,75.0,12,12,8.3,2.17,0,1,6.7,66.7,8,7,11.1,14,51.9,1,4,,,,,66.7,67.5,71.8,69.5,,,57.3,0,1,17,14.3,81.3,7.1,1,1,0,0,1,0,0.0,88,7.3,0,160,72.7,66.3,66.5,61.5,60.0,10,12,13.5,3.16,0,0,0.0,41.7,5,6,16.7,13,48.1,1,4,,,,,66.5,55.2,71.8,60.5,54.3,,53.1,0,1,16,0.0,42.7,0.0,0,1,0,2,1,0,0.0,37,3.1,76.9,13,13,12.2,2.34,0,1,5.6,69.2,9,0,10.0,14,51.9,1,6,,,,,67.0,67.9,72.4,70.8,54.3,,57.3,0,0,19,,129.8,0.0,0,1,0,0,2,0,0.0,95,7.3,0,55.6,9,11,8.6,2.98,0,0,0.0,36.4,4,13,20.0,13,48.1,1,2,,,,,66.2,52.4,71.2,57.0,,,52.9,0,2,14,7.7,5.3,7.7,1,1,0,2,0,0,0.0,30,2.7
Dylan Hopkins,83571,QB,UAB,1,27,62.5,8,8,8.8,2.12,0,0,0.0,62.5,5,2,0.0,10,37.0,0,3,,,,,18.0,33.3,70.1,33.6,,,,0,0,10,50.0,120.3,10.0,1,0,0,0,1,0,0.0,51,6.4,0,321,18.3,31.4,29.7,61.1,76.9,13,13,8.8,2.62,0,1,7.7,76.9,10,6,0.0,17,63.0,0,6,,,,,22.4,40.4,71.8,35.9,,,64.3,0,1,17,50.0,111.9,17.6,3,1,0,0,1,2,11.8,180,13.8,72.2,18,18,8.2,1.89,0,1,5.6,72.2,13,0,0.0,19,70.4,0,7,,,,,23.8,33.6,72.2,33.9,,,,0,1,19,,124.1,0.0,0,0,0,0,2,1,5.3,207,11.5,1,66.7,3,3,12.0,3.73,0,0,0.0,66.7,2,8,0.0,8,29.6,0,2,,,,,15.7,44.0,69.5,35.9,,,64.3,0,0,8,50.0,91.0,50.0,4,1,0,0,0,1,12.5,24,8.0
J.J. McCarthy,144918,QB,MICHIGAN,1,27,100.0,10,10,4.5,2.34,0,1,10.0,100.0,10,4,0.0,11,40.7,0,5,,,,,18.8,55.7,70.4,55.5,,,,0,0,11,25.0,132.9,9.1,1,0,0,0,1,1,9.1,79,7.9,0,222,29.7,65.0,67.4,59.1,66.7,12,14,11.4,2.43,0,1,6.7,57.1,8,2,0.0,16,59.3,0,3,,,,,66.7,71.7,71.8,73.6,,,57.8,1,0,17,0.0,72.3,0.0,0,1,0,1,0,0,0.0,76,5.4,78.9,19,20,8.2,2.16,0,1,4.8,75.0,15,0,0.0,21,77.8,0,6,,,,,67.4,71.2,72.7,70.7,,,,0,0,22,,90.0,0.0,0,0,0,1,0,0,0.0,122,6.1,1,100.0,3,4,9.0,3.18,0,1,25.0,75.0,3,6,0.0,6,22.2,0,2,,,,,13.8,50.8,68.6,53.6,,,57.8,1,0,6,16.7,138.5,16.7,1,1,0,0,1,1,16.7,33,8.3
Phil Jurkovec,83533,QB,BOSTON COL,1,27,88.9,9,9,15.3,2.78,0,2,22.2,77.8,7,4,12.5,12,44.4,1,3,,,,,6.3,48.9,71.0,49.0,60.0,,,0,0,12,75.0,158.3,25.0,3,0,0,0,2,2,16.7,196,21.8,0,121,18.3,71.6,71.2,66.6,100.0,12,12,5.3,2.97,0,0,0.0,91.7,11,6,8.3,15,55.6,1,6,,,,,66.4,85.8,71.4,87.8,,,61.8,0,1,15,0.0,97.2,0.0,0,3,0,0,1,0,0.0,108,9.0,93.3,15,15,11.3,2.78,0,2,13.3,80.0,12,0,14.3,17,63.0,2,5,,,,,66.7,82.0,71.8,89.6,,,49.9,0,1,17,,130.6,0.0,0,2,0,0,3,0,0.0,241,16.1,2,100.0,6,6,5.2,3.07,0,0,0.0,100.0,6,10,0.0,10,37.0,0,4,,,,,4.3,48.7,70.4,35.2,60.0,,69.3,0,0,10,30.0,110.4,30.0,3,1,0,0,0,2,20.0,63,10.5
Jack Salopek,130662,QB,W MICHIGAN,1,26,66.7,3,3,12.3,2.58,0,0,0.0,66.7,2,2,0.0,4,15.4,0,1,,,,,63.3,68.1,67.4,67.8,,,,0,0,4,50.0,113.9,25.0,1,0,0,0,1,0,0.0,12,4.0,0,347,68.4,73.7,67.6,73.1,60.0,20,20,9.5,3.2,0,1,5.0,55.0,11,5,8.3,22,84.6,1,6,,,,,67.4,66.0,72.7,65.7,,,60.6,0,1,22,0.0,110.4,0.0,0,2,0,0,2,1,4.5,240,12.0,61.1,18,18,9.3,2.79,0,1,5.6,61.1,11,0,0.0,19,73.1,0,6,,,,,67.0,71.8,72.2,73.8,,,57.0,0,1,19,,121.5,0.0,0,1,0,0,3,1,5.3,237,13.2,0,60.0,5,5,11.8,3.94,0,0,0.0,40.0,2,7,33.3,7,26.9,1,1,,,,,64.6,55.9,69.1,50.4,,,63.2,0,0,7,14.3,47.9,14.3,1,1,0,0,0,0,0.0,15,3.0
Todd Centeio,60552,QB,JAMES MAD,1,26,63.6,11,11,8.4,2.43,0,0,0.0,63.6,7,5,0.0,11,42.3,0,7,,,,,65.8,43.8,70.7,44.0,,,,0,1,12,0.0,69.3,0.0,0,0,0,0,0,1,8.3,139,12.6,0,197,71.8,63.7,55.0,71.4,69.2,13,14,11.4,2.67,1,2,14.3,57.1,8,5,11.1,15,57.7,1,5,,,,,66.4,68.0,71.4,67.6,,,,0,0,15,20.0,84.8,6.7,1,0,0,0,0,1,6.7,118,8.4,73.3,15,16,9.9,2.28,1,2,11.8,62.5,10,0,9.1,16,61.5,1,7,,,,,66.7,65.9,71.8,65.5,,,,0,1,17,,73.2,0.0,0,0,0,0,0,1,5.9,173,10.8,0,55.6,9,9,10.2,3.04,0,0,0.0,55.6,5,10,0.0,10,38.5,0,5,,,,,65.4,42.3,70.1,42.5,,,,0,0,10,10.0,87.3,10.0,1,0,0,0,0,1,10.0,84,9.3
Andrew Peasley,83581,QB,WYOMING,1,25,55.6,9,9,12.0,3.5,0,1,11.1,55.6,5,4,0.0,10,40.0,0,5,,,,,65.4,78.6,70.1,78.0,,,,0,0,10,25.0,125.9,10.0,1,0,0,0,2,0,0.0,82,9.1,0,351,27.3,72.0,56.8,84.3,28.6,7,11,9.4,3.47,1,0,0.0,9.1,1,4,50.0,15,60.0,1,2,,,,,21.3,57.7,71.4,34.3,,,83.8,1,1,15,25.0,1.7,6.7,1,3,0,2,0,1,6.7,3,0.3,41.7,12,14,11.8,2.94,1,1,7.1,28.6,4,0,20.0,17,68.0,1,6,,,,,66.7,84.1,71.8,69.2,,,83.8,0,1,17,,59.5,0.0,0,3,0,1,2,0,0.0,76,5.4,0,50.0,4,6,8.3,4.63,0,0,0.0,33.3,2,8,0.0,8,32.0,0,1,,,,,15.7,38.8,69.5,38.9,,,,1,0,8,25.0,42.4,25.0,2,0,0,1,0,1,12.5,9,1.5
